,Town,D_lat,D_long
0,Andoain,43.2067657693403,-2.0346671741566205
1,Andoain,43.228444812214335,-2.003316835054359
2,Andoain,43.21807350022312,-2.0215592942280134
3,Andoain,43.222655708574905,-2.02221361520125
4,Andoain,43.2305449539953,-2.000679248399339
5,Andoain,43.21019606567049,-2.035606142039243
6,Andoain,43.22478540596418,-2.0182576629747477
7,Andoain,43.22435814152582,-2.0266291816375412
8,Aretxabaleta,43.03658379203917,-2.5045960362648265
9,Aretxabaleta,43.02726909827494,-2.5030871676275694
10,Aretxabaleta,43.03076842612345,-2.5048707503071594
11,Aretxabaleta,43.027771835373024,-2.5088490212890213
12,Aretxabaleta,43.038079567769074,-2.5086195133337035
13,Aretxabaleta,43.03188488847628,-2.503224435542242
14,Aretxabaleta,43.030547525610636,-2.5030452842600246
15,Aretxabaleta,43.03523785918769,-2.5032485967685307
16,Azkoitia,43.175986879303174,-2.304843655313056
17,Azkoitia,43.176749599977455,-2.31913944170496
18,Azkoitia,43.177230320191825,-2.3123679923427556
19,Azkoitia,43.17124998407249,-2.3032054684389087
20,Azkoitia,43.17359767711436,-2.3270739876179474
21,Azkoitia,43.17305389483066,-2.3194339443854024
22,Azkoitia,43.171522631973446,-2.306050406584728
23,Azkoitia,43.17630562407742,-2.330335997452146
24,Azkoitia,43.1723756889714,-2.300518040279178
25,Azkoitia,43.17333567572167,-2.305500839192177
26,Azkoitia,43.176106971669434,-2.3059921526622196
27,Azkoitia,43.179099421084366,-2.3110256273893257
28,Azpeitia,43.182677953023,-2.2658501481705775
29,Azpeitia,43.16405375520557,-2.249067676427539
30,Azpeitia,43.209099647812096,-2.252466508193547
31,Azpeitia,43.175270850144784,-2.25717537404302
32,Azpeitia,43.17612788626229,-2.2632039943375513
33,Azpeitia,43.17766288887254,-2.2745448694609176
34,Azpeitia,43.17893679504901,-2.259742069112818
35,Azpeitia,43.18551441518728,-2.2636876251841174
36,Azpeitia,43.17093460206244,-2.2532455869038097
37,Azpeitia,43.17459348384383,-2.2543038313374133
38,Azpeitia,43.16127983176191,-2.2438253723933235
39,Azpeitia,43.20435727704625,-2.2521607402776374
40,Beasain,43.04902291601545,-2.1970710181133266
41,Beasain,43.05100185594879,-2.2183181077384315
42,Beasain,43.05163536413528,-2.2327837361109926
43,Beasain,43.05139665205953,-2.19028877523978
44,Beasain,43.04771192048475,-2.193918127034672
45,Beasain,43.044534250763306,-2.2011965199105936
46,Beasain,43.05153582469221,-2.225945168405646
47,Beasain,43.046811729779364,-2.217440503478866
48,Deba,43.274800111089185,-2.3349206375408826
49,Deba,43.29362382702026,-2.353691332951705
50,Deba,43.26853226584304,-2.3347383816348644
51,Deba,43.27375421146933,-2.3290423187581775
52,Deba,43.27009381600396,-2.3297128639741382
53,Deba,43.27645936334655,-2.3379110884521697
54,Deba,43.27829347909194,-2.3291477599431034
55,Deba,43.27316598710488,-2.33304074506687
56,Deba,43.267351884468766,-2.3314881702890187
57,Deba,43.29750558373782,-2.3500171334200823
58,Deba,43.27651611880134,-2.332201379363839
59,Deba,43.29385301207957,-2.354933982497535
60,Eibar,43.184189999063,-2.4721926282188234
61,Eibar,43.19266941614241,-2.4522153305854966
62,Eibar,43.18126516155048,-2.482939464987359
63,Eibar,43.18582166111236,-2.465606069980814
64,Eibar,43.18492611084126,-2.4626315709558178
65,Eibar,43.1805502069198,-2.4867050903426144
66,Eibar,43.189650331859994,-2.4555167928005677
67,Eibar,43.18832062667807,-2.462885031254944
68,Eibar,43.1852561437224,-2.4693174831239655
69,Eibar,43.183051737657216,-2.4742132691698266
70,Eibar,43.19654431213552,-2.453909941422877
71,Eibar,43.18316635784835,-2.4791099709845428
72,Elgoibar,43.21771467615178,-2.4111700019481
73,Elgoibar,43.22972447409775,-2.3978107980140204
74,Elgoibar,43.21096029819683,-2.4202533024867687
75,Elgoibar,43.22320257742439,-2.405117925279986
76,Elgoibar,43.20925240489913,-2.403740156965883
77,Elgoibar,43.217134270693,-2.4042473412820433
78,Elgoibar,43.21356605114438,-2.415885581806086
79,Elgoibar,43.227525015816624,-2.4046719484766754
80,Elgoibar,43.207973389153466,-2.4211398183384256
81,Elgoibar,43.22817665187956,-2.395205951099901
82,Elgoibar,43.21585533200668,-2.406839380771702
83,Elgoibar,43.235879733519084,-2.3995196605162725
84,Hondarribia,43.35981917322834,-1.7971521481581172
85,Hondarribia,43.363107943551334,-1.7922636461948351
86,Hondarribia,43.34875517727091,-1.799932293020302
87,Hondarribia,43.36841691260834,-1.7943305126384081
88,Hondarribia,43.35930716700542,-1.7906620355784872
89,Hondarribia,43.34506776818716,-1.8112696627140874
90,Hondarribia,43.374112851527016,-1.7951850860454373
91,Hondarribia,43.3617775294514,-1.7886838702701227
92,Hernani,43.26647951728138,-1.967544560789738
93,Hernani,43.26727349519663,-1.9747610886472693
94,Hernani,43.25727232433209,-1.9470262484039915
95,Hernani,43.27713624390082,-1.9896320754892818
96,Hernani,43.253812490100636,-1.9683518994959346
97,Hernani,43.26676459617014,-1.961439769713664
98,Hernani,43.25866368249537,-1.9599775367223498
99,Hernani,43.27153411689238,-1.9639802721203536
100,Hernani,43.270384607222546,-1.9792593805029717
101,Hernani,43.26904962503106,-1.986394935969803
102,Hernani,43.259291788004376,-1.951553679237382
103,Hernani,43.266012958708764,-1.976657590352592
104,Irun,43.34107546283241,-1.796674856846457
