,Town,Centroide,Percentil,D_long,D_lat
0,Andoain,POINT (-2.0204804447306737 43.218011474624994),1,-2.0204804447306737,43.218011474624994
1,Andoain,POINT (-2.019606561595047 43.21887040756432),3,-2.019606561595047,43.21887040756432
2,Andoain,POINT (-2.024029003627022 43.21271331467873),4,-2.024029003627022,43.21271331467873
3,Andoain,POINT (-2.020697286888803 43.22086520423484),1,-2.020697286888803,43.22086520423484
4,Andoain,POINT (-2.024156912472465 43.22328633952009),1,-2.024156912472465,43.22328633952009
5,Andoain,POINT (-2.0252310856701796 43.21140006326593),2,-2.0252310856701796,43.21140006326593
6,Andoain,POINT (-2.024608281576737 43.21166799446736),2,-2.024608281576737,43.21166799446736
7,Andoain,POINT (-2.0196439338034655 43.21814542768285),3,-2.0196439338034655,43.21814542768285
8,Andoain,POINT (-2.0257616373301035 43.21155858524042),2,-2.0257616373301035,43.21155858524042
9,Andoain,POINT (-2.0219143146020624 43.21904842500846),2,-2.0219143146020624,43.21904842500846
10,Andoain,POINT (-2.0257976145207226 43.21142209526919),2,-2.0257976145207226,43.21142209526919
11,Andoain,POINT (-2.022998475169407 43.21354402994744),4,-2.022998475169407,43.21354402994744
12,Andoain,POINT (-2.0213511907503157 43.21658057429486),1,-2.0213511907503157,43.21658057429486
13,Andoain,POINT (-2.0231477272974288 43.22188905063958),1,-2.0231477272974288,43.22188905063958
14,Andoain,POINT (-2.0224123162144414 43.213642285197544),4,-2.0224123162144414,43.213642285197544
15,Andoain,POINT (-2.022482412770233 43.2200610452929),2,-2.022482412770233,43.2200610452929
16,Andoain,POINT (-2.0243582211861444 43.22171584932023),2,-2.0243582211861444,43.22171584932023
17,Andoain,POINT (-2.031081159601701 43.209942166762914),4,-2.031081159601701,43.209942166762914
18,Andoain,POINT (-2.0206073552709443 43.21671232269292),1,-2.0206073552709443,43.21671232269292
19,Andoain,POINT (-2.0196216409457683 43.21339799550506),3,-2.0196216409457683,43.21339799550506
20,Andoain,POINT (-2.022999650649657 43.213888707920795),4,-2.022999650649657,43.213888707920795
21,Andoain,POINT (-2.0178880641358474 43.21957112431051),3,-2.0178880641358474,43.21957112431051
22,Andoain,POINT (-2.0241544960407762 43.212413264693865),4,-2.0241544960407762,43.212413264693865
23,Andoain,POINT (-2.0178628881945553 43.22473368722914),3,-2.0178628881945553,43.22473368722914
24,Andoain,POINT (-2.0241052429894015 43.22036300629391),2,-2.0241052429894015,43.22036300629391
25,Andoain,POINT (-2.0250909048629824 43.22649273096982),3,-2.0250909048629824,43.22649273096982
26,Andoain,POINT (-2.0214803683376283 43.215566207485566),1,-2.0214803683376283,43.215566207485566
27,Andoain,POINT (-2.020993661855746 43.21629794907283),4,-2.020993661855746,43.21629794907283
28,Andoain,POINT (-2.0230890952409384 43.21146153769588),4,-2.0230890952409384,43.21146153769588
29,Andoain,POINT (-2.0250067680619726 43.21297881650327),2,-2.0250067680619726,43.21297881650327
30,Andoain,POINT (-2.0191187150952747 43.21880267076007),4,-2.0191187150952747,43.21880267076007
31,Andoain,POINT (-2.0161843409973677 43.221293248783816),3,-2.0161843409973677,43.221293248783816
32,Andoain,POINT (-2.0164950904860515 43.226446027378465),3,-2.0164950904860515,43.226446027378465
33,Andoain,POINT (-2.016970197387101 43.219942022280556),3,-2.016970197387101,43.219942022280556
34,Andoain,POINT (-2.021867719302046 43.220310357020786),2,-2.021867719302046,43.220310357020786
35,Andoain,POINT (-2.031486738239829 43.208248289840164),4,-2.031486738239829,43.208248289840164
36,Andoain,POINT (-2.0184792574653025 43.2183890768449),4,-2.0184792574653025,43.2183890768449
37,Andoain,POINT (-2.0286628100554362 43.21073106539097),2,-2.0286628100554362,43.21073106539097
38,Andoain,POINT (-2.019010008255762 43.22035500106087),1,-2.019010008255762,43.22035500106087
39,Andoain,POINT (-2.0226779659061105 43.22042360152505),2,-2.0226779659061105,43.22042360152505
40,Andoain,POINT (-2.0198326571850815 43.21628871987354),3,-2.0198326571850815,43.21628871987354
41,Andoain,POINT (-2.0198341665926454 43.214062443626936),3,-2.0198341665926454,43.214062443626936
42,Andoain,POINT (-2.0228193655983584 43.222990480739405),1,-2.0228193655983584,43.222990480739405
43,Andoain,POINT (-2.031790641535584 43.2126391975535),4,-2.031790641535584,43.2126391975535
44,Andoain,POINT (-2.0212697680050873 43.21819790415031),2,-2.0212697680050873,43.21819790415031
45,Andoain,POINT (-2.022173405611397 43.21960546603252),2,-2.022173405611397,43.21960546603252
46,Andoain,POINT (-2.0225644771005866 43.21983922989638),2,-2.0225644771005866,43.21983922989638
47,Andoain,POINT (-2.0217043183693075 43.215668555295515),1,-2.0217043183693075,43.215668555295515
48,Andoain,POINT (-2.0259109049787525 43.212539360888286),2,-2.0259109049787525,43.212539360888286
49,Andoain,POINT (-2.0226882986529113 43.212648893533235),2,-2.0226882986529113,43.212648893533235
50,Andoain,POINT (-2.01656446816185 43.22227376681776),3,-2.01656446816185,43.22227376681776
51,Andoain,POINT (-2.02008392857721 43.214476345051786),3,-2.02008392857721,43.214476345051786
52,Andoain,POINT (-2.0235310872473002 43.21362949585465),4,-2.0235310872473002,43.21362949585465
53,Andoain,POINT (-2.02676514909491 43.211507915097684),2,-2.02676514909491,43.211507915097684
54,Andoain,POINT (-2.0203609577535673 43.21241175538912),3,-2.0203609577535673,43.21241175538912
55,Andoain,POINT (-2.022792582445904 43.21359036026429),4,-2.022792582445904,43.21359036026429
56,Andoain,POINT (-2.0241114173350017 43.2223018223061),1,-2.0241114173350017,43.2223018223061
57,Andoain,POINT (-2.0279469876244076 43.211545369899824),2,-2.0279469876244076,43.211545369899824
58,Andoain,POINT (-2.021744467633124 43.21631909759864),1,-2.021744467633124,43.21631909759864
59,Andoain,POINT (-2.0183478225204006 43.21780149172392),4,-2.0183478225204006,43.21780149172392
60,Andoain,POINT (-2.032651348037003 43.20898090854094),4,-2.032651348037003,43.20898090854094
61,Andoain,POINT (-2.0202195587102896 43.21355762012263),3,-2.0202195587102896,43.21355762012263
62,Andoain,POINT (-2.021622987746087 43.21723899710606),1,-2.021622987746087,43.21723899710606
63,Andoain,POINT (-2.018841358605816 43.21831526084152),4,-2.018841358605816,43.21831526084152
64,Andoain,POINT (-2.0184061060642065 43.21855814158869),4,-2.0184061060642065,43.21855814158869
65,Andoain,POINT (-2.0241510670431535 43.21346951143112),4,-2.0241510670431535,43.21346951143112
66,Andoain,POINT (-2.02384288832029 43.213488455141466),4,-2.02384288832029,43.213488455141466
67,Andoain,POINT (-2.018884658563312 43.22123981416297),1,-2.018884658563312,43.22123981416297
68,Andoain,POINT (-2.0175262234439897 43.22586926600598),3,-2.0175262234439897,43.22586926600598
69,Andoain,POINT (-2.021786390637047 43.21737070483113),1,-2.021786390637047,43.21737070483113
70,Andoain,POINT (-2.023677457635211 43.22059503309513),2,-2.023677457635211,43.22059503309513
71,Andoain,POINT (-2.032969625966195 43.21343992897934),4,-2.032969625966195,43.21343992897934
72,Andoain,POINT (-2.0216753994856673 43.220029533624256),2,-2.0216753994856673,43.220029533624256
73,Andoain,POINT (-2.0197737194816607 43.21360935974981),3,-2.0197737194816607,43.21360935974981
74,Andoain,POINT (-2.0194516665963214 43.21357006573737),3,-2.0194516665963214,43.21357006573737
75,Andoain,POINT (-2.0199652332781883 43.22110791115335),1,-2.0199652332781883,43.22110791115335
76,Andoain,POINT (-2.024678954971015 43.21277879654766),4,-2.024678954971015,43.21277879654766
77,Andoain,POINT (-2.0173956427214654 43.219559432205294),3,-2.0173956427214654,43.219559432205294
78,Andoain,POINT (-2.022641603025264 43.21060941918076),4,-2.022641603025264,43.21060941918076
79,Andoain,POINT (-2.0195686542960845 43.221435581773335),1,-2.0195686542960845,43.221435581773335
80,Andoain,POINT (-2.0192270668621357 43.22066179681313),1,-2.0192270668621357,43.22066179681313
81,Andoain,POINT (-2.020921297106678 43.22093675464933),1,-2.020921297106678,43.22093675464933
82,Andoain,POINT (-2.0220402376509625 43.21973468870587),2,-2.0220402376509625,43.21973468870587
83,Andoain,POINT (-2.0195931635757565 43.214052394681495),3,-2.0195931635757565,43.214052394681495
84,Andoain,POINT (-2.016462790460167 43.21922983608113),3,-2.016462790460167,43.21922983608113
85,Andoain,POINT (-2.023794623654807 43.22072793093006),2,-2.023794623654807,43.22072793093006
86,Andoain,POINT (-2.0199073353677455 43.21382740168194),3,-2.0199073353677455,43.21382740168194
87,Andoain,POINT (-2.0174741303643065 43.22440294024894),3,-2.0174741303643065,43.22440294024894
88,Andoain,POINT (-2.0164256924664303 43.222948433996706),3,-2.0164256924664303,43.222948433996706
89,Andoain,POINT (-2.020861105005353 43.2172867983529),1,-2.020861105005353,43.2172867983529
90,Andoain,POINT (-2.0290092430195785 43.21099413794953),2,-2.0290092430195785,43.21099413794953
91,Andoain,POINT (-2.0215196886776123 43.21884370095319),2,-2.0215196886776123,43.21884370095319
92,Andoain,POINT (-2.0211111079853747 43.21482698850848),4,-2.0211111079853747,43.21482698850848
93,Andoain,POINT (-2.0198280983418733 43.21675349235772),3,-2.0198280983418733,43.21675349235772
94,Andoain,POINT (-2.0231613009087788 43.21385688290331),4,-2.0231613009087788,43.21385688290331
95,Andoain,POINT (-2.0171200837508505 43.221018819772),3,-2.0171200837508505,43.221018819772
96,Andoain,POINT (-2.0171167008349205 43.2127028930005),3,-2.0171167008349205,43.2127028930005
97,Andoain,POINT (-2.021506905942591 43.22304066999222),1,-2.021506905942591,43.22304066999222
98,Andoain,POINT (-2.0351447397554225 43.21196402127017),4,-2.0351447397554225,43.21196402127017
