,Hora_Ini,Hora_Ini_E,Recur,Per_hog,Turismos,Sexo,Edad,crnt_tur,Income,Income_Percentile,O_long,O_lat,D_long,D_lat,drive_tt,distance,walk_tt,transit_tt_gm,Tipo_familia,Mun_Ori,Mun_Des,prediction
0,08:00,97,22,1,2,2,3,1,21161.745000000003,1,-1.9848045693362384,43.31758930700514,-1.976657590352592,43.26601295870877,11.3894,7127.253,116.22096666666667,20.461600000000004,3,69,40,PT
1,06:45,82,22,1,3,1,6,1,28637.91,4,-1.9764196557360296,43.30369464017343,-1.903458156853628,43.3052673986488,10.705483333333332,7900.494,123.84836666666666,24.254400000000004,3,69,40,Car
2,06:20,77,22,2,3,1,4,1,25017.26,3,-1.9888257720657545,43.323421421547934,-1.902664305540033,43.30136034166794,14.87125,9046.244,144.98426666666668,38.3416,2,69,40,Car
3,05:30,67,22,2,3,1,3,1,25010.085,3,-1.9699574564634512,43.322688318466334,-1.9599775367223495,43.25866368249537,16.590666666666667,10957.832,143.98413333333335,34.432,2,69,40,Car
4,06:20,77,22,2,3,1,4,1,25017.26,3,-1.9663922739086213,43.31980957687047,-1.8988378920575135,43.32098121371322,7.115399999999999,6218.361,98.7818,14.2128,2,69,40,Car
5,07:30,91,22,2,2,1,5,1,25818.26,3,-1.974669434474416,43.323059013605246,-1.906585898238769,43.31418068236337,9.561533333333333,6533.149,100.15315000000001,16.2248,4,69,40,Car
6,15:55,192,21,2,3,2,4,1,21842.32,1,-1.9359392507786453,43.31689678022152,-1.858982290370125,43.32604770789318,12.833283333333332,7809.138,116.85795,19.508000000000003,6,69,40,PT
7,16:15,196,22,1,2,2,4,1,20930.450000000004,1,-1.935491840254885,43.31585750040352,-1.9683518994959344,43.25381249010064,12.237683333333333,9055.699,149.88706666666667,36.238400000000006,3,69,40,PT
8,16:15,196,22,2,2,1,4,1,24011.46,2,-1.9709992286135705,43.3115921703202,-1.9198299468367088,43.325755037874906,12.208516666666666,8715.794,155.72408333333334,27.536,4,69,40,Car
9,15:55,192,21,2,3,2,4,1,21842.32,1,-1.9555120580193697,43.31123059888091,-1.9942300408995253,43.2455368434464,10.07825,10223.58,163.37821666666665,23.248,6,69,40,PT
10,21:30,259,22,2,3,1,5,1,24223.07,3,-1.9846740525204447,43.32466745804836,-1.961439769713664,43.26676459617014,10.751266666666668,7950.174,139.87126666666666,25.960000000000004,4,69,40,Car
